record_id,date,customer_segment,acquisition_channel,region,impressions,clicks,media_spend_usd,data_loaded_at,source_system
2026-04-01|SMB|Paid Search|North America,2026-04-01,SMB,Paid Search,North America,39298,1704,6198.22,2026-04-02 12:00:00,Synthetic paid media platform export
2026-04-01|SMB|Paid Search|EMEA,2026-04-01,SMB,Paid Search,EMEA,26520,1118,3789.61,2026-04-02 12:00:00,Synthetic paid media platform export
2026-04-01|SMB|Paid Search|APAC,2026-04-01,SMB,Paid Search,APAC,26814,1092,3092.92,2026-04-02 12:00:00,Synthetic paid media platform export
2026-04-01|Mid-Market|Paid Search|North America,2026-04-01,Mid-Market,Paid Search,North America,34131,1411,7131.51,2026-04-02 12:00:00,Synthetic paid media platform export
2026-04-01|Mid-Market|Paid Search|EMEA,2026-04-01,Mid-Market,Paid Search,EMEA,22683,921,4256.23,2026-04-02 12:00:00,Synthetic paid media platform export
2026-04-01|Mid-Market|Paid Search|APAC,2026-04-01,Mid-Market,Paid Search,APAC,17814,695,2708.69,2026-04-02 12:00:00,Synthetic paid media platform export
2026-04-01|Enterprise|Paid Search|North America,2026-04-01,Enterprise,Paid Search,North America,22178,895,6023.73,2026-04-02 12:00:00,Synthetic paid media platform export
2026-04-01|Enterprise|Paid Search|EMEA,2026-04-01,Enterprise,Paid Search,EMEA,16218,635,4033.95,2026-04-02 12:00:00,Synthetic paid media platform export
2026-04-01|Enterprise|Paid Search|APAC,2026-04-01,Enterprise,Paid Search,APAC,14064,543,2785.26,2026-04-02 12:00:00,Synthetic paid media platform export
2026-04-02|SMB|Paid Search|North America,2026-04-02,SMB,Paid Search,North America,43864,1864,6837.09,2026-04-03 12:00:00,Synthetic paid media platform export
2026-04-02|SMB|Paid Search|EMEA,2026-04-02,SMB,Paid Search,EMEA,27613,1175,3927.23,2026-04-03 12:00:00,Synthetic paid media platform export
2026-04-02|SMB|Paid Search|APAC,2026-04-02,SMB,Paid Search,APAC,27738,1125,3089.92,2026-04-03 12:00:00,Synthetic paid media platform export
2026-04-02|Mid-Market|Paid Search|North America,2026-04-02,Mid-Market,Paid Search,North America,29504,1244,6366.04,2026-04-03 12:00:00,Synthetic paid media platform export
2026-04-02|Mid-Market|Paid Search|EMEA,2026-04-02,Mid-Market,Paid Search,EMEA,24327,991,4522.82,2026-04-03 12:00:00,Synthetic paid media platform export
2026-04-02|Mid-Market|Paid Search|APAC,2026-04-02,Mid-Market,Paid Search,APAC,19073,761,2923.26,2026-04-03 12:00:00,Synthetic paid media platform export
2026-04-02|Enterprise|Paid Search|North America,2026-04-02,Enterprise,Paid Search,North America,20401,809,5414.42,2026-04-03 12:00:00,Synthetic paid media platform export
2026-04-02|Enterprise|Paid Search|EMEA,2026-04-02,Enterprise,Paid Search,EMEA,15794,612,3853.91,2026-04-03 12:00:00,Synthetic paid media platform export
2026-04-02|Enterprise|Paid Search|APAC,2026-04-02,Enterprise,Paid Search,APAC,13768,528,2715.82,2026-04-03 12:00:00,Synthetic paid media platform export
2026-04-03|SMB|Paid Search|North America,2026-04-03,SMB,Paid Search,North America,40702,1778,6693.52,2026-04-04 12:00:00,Synthetic paid media platform export
2026-04-03|SMB|Paid Search|EMEA,2026-04-03,SMB,Paid Search,EMEA,28182,1188,4036.93,2026-04-04 12:00:00,Synthetic paid media platform export
2026-04-03|SMB|Paid Search|APAC,2026-04-03,SMB,Paid Search,APAC,25415,1048,2882.51,2026-04-04 12:00:00,Synthetic paid media platform export
2026-04-03|Mid-Market|Paid Search|North America,2026-04-03,Mid-Market,Paid Search,North America,34238,1456,7211.18,2026-04-04 12:00:00,Synthetic paid media platform export
2026-04-03|Mid-Market|Paid Search|EMEA,2026-04-03,Mid-Market,Paid Search,EMEA,23238,949,4305.48,2026-04-04 12:00:00,Synthetic paid media platform export
2026-04-03|Mid-Market|Paid Search|APAC,2026-04-03,Mid-Market,Paid Search,APAC,18192,721,2852.31,2026-04-04 12:00:00,Synthetic paid media platform export
2026-04-03|Enterprise|Paid Search|North America,2026-04-03,Enterprise,Paid Search,North America,21754,860,5877.88,2026-04-04 12:00:00,Synthetic paid media platform export
2026-04-03|Enterprise|Paid Search|EMEA,2026-04-03,Enterprise,Paid Search,EMEA,14787,571,3523.79,2026-04-04 12:00:00,Synthetic paid media platform export
2026-04-03|Enterprise|Paid Search|APAC,2026-04-03,Enterprise,Paid Search,APAC,12467,483,2573.46,2026-04-04 12:00:00,Synthetic paid media platform export
2026-04-04|SMB|Paid Search|North America,2026-04-04,SMB,Paid Search,North America,28995,1248,4602.02,2026-04-05 12:00:00,Synthetic paid media platform export
2026-04-04|SMB|Paid Search|EMEA,2026-04-04,SMB,Paid Search,EMEA,22595,944,3212.01,2026-04-05 12:00:00,Synthetic paid media platform export
2026-04-04|SMB|Paid Search|APAC,2026-04-04,SMB,Paid Search,APAC,19173,799,2264.44,2026-04-05 12:00:00,Synthetic paid media platform export
2026-04-04|Mid-Market|Paid Search|North America,2026-04-04,Mid-Market,Paid Search,North America,24250,1033,5155.74,2026-04-05 12:00:00,Synthetic paid media platform export
2026-04-04|Mid-Market|Paid Search|EMEA,2026-04-04,Mid-Market,Paid Search,EMEA,18668,766,3590.65,2026-04-05 12:00:00,Synthetic paid media platform export
2026-04-04|Mid-Market|Paid Search|APAC,2026-04-04,Mid-Market,Paid Search,APAC,15202,594,2301.84,2026-04-05 12:00:00,Synthetic paid media platform export
2026-04-04|Enterprise|Paid Search|North America,2026-04-04,Enterprise,Paid Search,North America,15242,609,4137.85,2026-04-05 12:00:00,Synthetic paid media platform export
2026-04-04|Enterprise|Paid Search|EMEA,2026-04-04,Enterprise,Paid Search,EMEA,13320,528,3229.29,2026-04-05 12:00:00,Synthetic paid media platform export
2026-04-04|Enterprise|Paid Search|APAC,2026-04-04,Enterprise,Paid Search,APAC,11728,441,2300.55,2026-04-05 12:00:00,Synthetic paid media platform export
2026-04-05|SMB|Paid Search|North America,2026-04-05,SMB,Paid Search,North America,31475,1344,5006.88,2026-04-06 12:00:00,Synthetic paid media platform export
2026-04-05|SMB|Paid Search|EMEA,2026-04-05,SMB,Paid Search,EMEA,27000,1132,3847.41,2026-04-06 12:00:00,Synthetic paid media platform export
2026-04-05|SMB|Paid Search|APAC,2026-04-05,SMB,Paid Search,APAC,17964,736,2103.1,2026-04-06 12:00:00,Synthetic paid media platform export
2026-04-05|Mid-Market|Paid Search|North America,2026-04-05,Mid-Market,Paid Search,North America,24297,1027,5068.14,2026-04-06 12:00:00,Synthetic paid media platform export
2026-04-05|Mid-Market|Paid Search|EMEA,2026-04-05,Mid-Market,Paid Search,EMEA,19585,811,3680.74,2026-04-06 12:00:00,Synthetic paid media platform export
2026-04-05|Mid-Market|Paid Search|APAC,2026-04-05,Mid-Market,Paid Search,APAC,16977,673,2630.48,2026-04-06 12:00:00,Synthetic paid media platform export
2026-04-05|Enterprise|Paid Search|North America,2026-04-05,Enterprise,Paid Search,North America,14010,558,3725.33,2026-04-06 12:00:00,Synthetic paid media platform export
2026-04-05|Enterprise|Paid Search|EMEA,2026-04-05,Enterprise,Paid Search,EMEA,13574,541,3368.65,2026-04-06 12:00:00,Synthetic paid media platform export
2026-04-05|Enterprise|Paid Search|APAC,2026-04-05,Enterprise,Paid Search,APAC,10503,402,2042.1,2026-04-06 12:00:00,Synthetic paid media platform export
2026-04-06|SMB|Paid Search|North America,2026-04-06,SMB,Paid Search,North America,37199,1606,5811.01,2026-04-07 12:00:00,Synthetic paid media platform export
2026-04-06|SMB|Paid Search|EMEA,2026-04-06,SMB,Paid Search,EMEA,30572,1283,4299.25,2026-04-07 12:00:00,Synthetic paid media platform export
2026-04-06|SMB|Paid Search|APAC,2026-04-06,SMB,Paid Search,APAC,27553,1117,3173.49,2026-04-07 12:00:00,Synthetic paid media platform export
2026-04-06|Mid-Market|Paid Search|North America,2026-04-06,Mid-Market,Paid Search,North America,30982,1303,6656.91,2026-04-07 12:00:00,Synthetic paid media platform export
2026-04-06|Mid-Market|Paid Search|EMEA,2026-04-06,Mid-Market,Paid Search,EMEA,22268,918,4230.19,2026-04-07 12:00:00,Synthetic paid media platform export
2026-04-06|Mid-Market|Paid Search|APAC,2026-04-06,Mid-Market,Paid Search,APAC,20386,796,3114.42,2026-04-07 12:00:00,Synthetic paid media platform export
2026-04-06|Enterprise|Paid Search|North America,2026-04-06,Enterprise,Paid Search,North America,19686,776,5236.42,2026-04-07 12:00:00,Synthetic paid media platform export
2026-04-06|Enterprise|Paid Search|EMEA,2026-04-06,Enterprise,Paid Search,EMEA,15921,634,3896.66,2026-04-07 12:00:00,Synthetic paid media platform export
2026-04-06|Enterprise|Paid Search|APAC,2026-04-06,Enterprise,Paid Search,APAC,14256,549,2799.26,2026-04-07 12:00:00,Synthetic paid media platform export
2026-04-07|SMB|Paid Search|North America,2026-04-07,SMB,Paid Search,North America,39357,1721,6391.09,2026-04-08 12:00:00,Synthetic paid media platform export
2026-04-07|SMB|Paid Search|EMEA,2026-04-07,SMB,Paid Search,EMEA,32318,1358,4592.56,2026-04-08 12:00:00,Synthetic paid media platform export
2026-04-07|SMB|Paid Search|APAC,2026-04-07,SMB,Paid Search,APAC,24707,1031,2923.89,2026-04-08 12:00:00,Synthetic paid media platform export
2026-04-07|Mid-Market|Paid Search|North America,2026-04-07,Mid-Market,Paid Search,North America,33110,1377,6996.06,2026-04-08 12:00:00,Synthetic paid media platform export
2026-04-07|Mid-Market|Paid Search|EMEA,2026-04-07,Mid-Market,Paid Search,EMEA,22544,913,4224.18,2026-04-08 12:00:00,Synthetic paid media platform export
2026-04-07|Mid-Market|Paid Search|APAC,2026-04-07,Mid-Market,Paid Search,APAC,23603,922,3563.59,2026-04-08 12:00:00,Synthetic paid media platform export
2026-04-07|Enterprise|Paid Search|North America,2026-04-07,Enterprise,Paid Search,North America,20352,806,5615.42,2026-04-08 12:00:00,Synthetic paid media platform export
2026-04-07|Enterprise|Paid Search|EMEA,2026-04-07,Enterprise,Paid Search,EMEA,18789,742,4680.65,2026-04-08 12:00:00,Synthetic paid media platform export
2026-04-07|Enterprise|Paid Search|APAC,2026-04-07,Enterprise,Paid Search,APAC,14019,527,2762.3,2026-04-08 12:00:00,Synthetic paid media platform export
2026-04-08|SMB|Paid Search|North America,2026-04-08,SMB,Paid Search,North America,39960,1714,6225.88,2026-04-09 12:00:00,Synthetic paid media platform export
2026-04-08|SMB|Paid Search|EMEA,2026-04-08,SMB,Paid Search,EMEA,33464,1436,4775.85,2026-04-09 12:00:00,Synthetic paid media platform export
2026-04-08|SMB|Paid Search|APAC,2026-04-08,SMB,Paid Search,APAC,24442,995,2758.11,2026-04-09 12:00:00,Synthetic paid media platform export
2026-04-08|Mid-Market|Paid Search|North America,2026-04-08,Mid-Market,Paid Search,North America,32356,1330,6827,2026-04-09 12:00:00,Synthetic paid media platform export
2026-04-08|Mid-Market|Paid Search|EMEA,2026-04-08,Mid-Market,Paid Search,EMEA,21494,890,4137.9,2026-04-09 12:00:00,Synthetic paid media platform export
2026-04-08|Mid-Market|Paid Search|APAC,2026-04-08,Mid-Market,Paid Search,APAC,23419,916,3504.12,2026-04-09 12:00:00,Synthetic paid media platform export
2026-04-08|Enterprise|Paid Search|North America,2026-04-08,Enterprise,Paid Search,North America,18493,735,4997.4,2026-04-09 12:00:00,Synthetic paid media platform export
2026-04-08|Enterprise|Paid Search|EMEA,2026-04-08,Enterprise,Paid Search,EMEA,15611,617,3857.19,2026-04-09 12:00:00,Synthetic paid media platform export
2026-04-08|Enterprise|Paid Search|APAC,2026-04-08,Enterprise,Paid Search,APAC,12822,492,2503.7,2026-04-09 12:00:00,Synthetic paid media platform export
2026-04-09|SMB|Paid Search|North America,2026-04-09,SMB,Paid Search,North America,42936,1860,6963.71,2026-04-10 12:00:00,Synthetic paid media platform export
2026-04-09|SMB|Paid Search|EMEA,2026-04-09,SMB,Paid Search,EMEA,32754,1358,4517.95,2026-04-10 12:00:00,Synthetic paid media platform export
2026-04-09|SMB|Paid Search|APAC,2026-04-09,SMB,Paid Search,APAC,25002,1023,2826.78,2026-04-10 12:00:00,Synthetic paid media platform export
2026-04-09|Mid-Market|Paid Search|North America,2026-04-09,Mid-Market,Paid Search,North America,30803,1265,6420.69,2026-04-10 12:00:00,Synthetic paid media platform export
2026-04-09|Mid-Market|Paid Search|EMEA,2026-04-09,Mid-Market,Paid Search,EMEA,20710,835,3841.14,2026-04-10 12:00:00,Synthetic paid media platform export
2026-04-09|Mid-Market|Paid Search|APAC,2026-04-09,Mid-Market,Paid Search,APAC,19118,768,3039.57,2026-04-10 12:00:00,Synthetic paid media platform export
2026-04-09|Enterprise|Paid Search|North America,2026-04-09,Enterprise,Paid Search,North America,20505,825,5741.95,2026-04-10 12:00:00,Synthetic paid media platform export
2026-04-09|Enterprise|Paid Search|EMEA,2026-04-09,Enterprise,Paid Search,EMEA,17662,689,4284.91,2026-04-10 12:00:00,Synthetic paid media platform export
2026-04-09|Enterprise|Paid Search|APAC,2026-04-09,Enterprise,Paid Search,APAC,13580,522,2726.33,2026-04-10 12:00:00,Synthetic paid media platform export
2026-04-10|SMB|Paid Search|North America,2026-04-10,SMB,Paid Search,North America,39583,1723,6229.76,2026-04-11 12:00:00,Synthetic paid media platform export
2026-04-10|SMB|Paid Search|EMEA,2026-04-10,SMB,Paid Search,EMEA,28845,1228,4113.77,2026-04-11 12:00:00,Synthetic paid media platform export
2026-04-10|SMB|Paid Search|APAC,2026-04-10,SMB,Paid Search,APAC,23168,967,2782.59,2026-04-11 12:00:00,Synthetic paid media platform export
2026-04-10|Mid-Market|Paid Search|North America,2026-04-10,Mid-Market,Paid Search,North America,31024,1307,6694.82,2026-04-11 12:00:00,Synthetic paid media platform export
2026-04-10|Mid-Market|Paid Search|EMEA,2026-04-10,Mid-Market,Paid Search,EMEA,25740,1047,4851.54,2026-04-11 12:00:00,Synthetic paid media platform export
2026-04-10|Mid-Market|Paid Search|APAC,2026-04-10,Mid-Market,Paid Search,APAC,20423,828,3145.5,2026-04-11 12:00:00,Synthetic paid media platform export
