record_id,date,customer_segment,acquisition_channel,region,active_users,sessions,feature_adoptions,data_loaded_at,source_system
2026-04-01|SMB|Organic|North America,2026-04-01,SMB,Organic,North America,1167,2488,401,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|SMB|Organic|EMEA,2026-04-01,SMB,Organic,EMEA,901,1922,306,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|SMB|Organic|APAC,2026-04-01,SMB,Organic,APAC,649,1394,227,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|SMB|Paid Search|North America,2026-04-01,SMB,Paid Search,North America,971,2155,335,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|SMB|Paid Search|EMEA,2026-04-01,SMB,Paid Search,EMEA,671,1434,234,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|SMB|Paid Search|APAC,2026-04-01,SMB,Paid Search,APAC,604,1327,203,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|SMB|Partner|North America,2026-04-01,SMB,Partner,North America,706,1631,258,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|SMB|Partner|EMEA,2026-04-01,SMB,Partner,EMEA,444,1054,160,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|SMB|Partner|APAC,2026-04-01,SMB,Partner,APAC,385,893,141,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Mid-Market|Organic|North America,2026-04-01,Mid-Market,Organic,North America,786,1773,274,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Mid-Market|Organic|EMEA,2026-04-01,Mid-Market,Organic,EMEA,564,1229,190,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Mid-Market|Organic|APAC,2026-04-01,Mid-Market,Organic,APAC,429,922,153,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Mid-Market|Paid Search|North America,2026-04-01,Mid-Market,Paid Search,North America,666,1575,238,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Mid-Market|Paid Search|EMEA,2026-04-01,Mid-Market,Paid Search,EMEA,424,951,144,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Mid-Market|Paid Search|APAC,2026-04-01,Mid-Market,Paid Search,APAC,345,768,123,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Mid-Market|Partner|North America,2026-04-01,Mid-Market,Partner,North America,403,922,141,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Mid-Market|Partner|EMEA,2026-04-01,Mid-Market,Partner,EMEA,306,697,107,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Mid-Market|Partner|APAC,2026-04-01,Mid-Market,Partner,APAC,245,580,86,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Enterprise|Organic|North America,2026-04-01,Enterprise,Organic,North America,369,781,165,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Enterprise|Organic|EMEA,2026-04-01,Enterprise,Organic,EMEA,270,577,125,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Enterprise|Organic|APAC,2026-04-01,Enterprise,Organic,APAC,208,489,99,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Enterprise|Paid Search|North America,2026-04-01,Enterprise,Paid Search,North America,319,717,146,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Enterprise|Paid Search|EMEA,2026-04-01,Enterprise,Paid Search,EMEA,222,508,98,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Enterprise|Paid Search|APAC,2026-04-01,Enterprise,Paid Search,APAC,186,432,85,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Enterprise|Partner|North America,2026-04-01,Enterprise,Partner,North America,201,453,95,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Enterprise|Partner|EMEA,2026-04-01,Enterprise,Partner,EMEA,144,338,69,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-01|Enterprise|Partner|APAC,2026-04-01,Enterprise,Partner,APAC,114,261,53,2026-04-02 12:00:00,Synthetic product + billing events
2026-04-02|SMB|Organic|North America,2026-04-02,SMB,Organic,North America,1210,2706,444,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|SMB|Organic|EMEA,2026-04-02,SMB,Organic,EMEA,824,1917,279,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|SMB|Organic|APAC,2026-04-02,SMB,Organic,APAC,745,1700,274,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|SMB|Paid Search|North America,2026-04-02,SMB,Paid Search,North America,1021,2270,355,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|SMB|Paid Search|EMEA,2026-04-02,SMB,Paid Search,EMEA,742,1577,259,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|SMB|Paid Search|APAC,2026-04-02,SMB,Paid Search,APAC,533,1251,189,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|SMB|Partner|North America,2026-04-02,SMB,Partner,North America,616,1383,226,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|SMB|Partner|EMEA,2026-04-02,SMB,Partner,EMEA,472,1042,171,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|SMB|Partner|APAC,2026-04-02,SMB,Partner,APAC,378,858,136,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Mid-Market|Organic|North America,2026-04-02,Mid-Market,Organic,North America,715,1555,256,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Mid-Market|Organic|EMEA,2026-04-02,Mid-Market,Organic,EMEA,563,1259,203,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Mid-Market|Organic|APAC,2026-04-02,Mid-Market,Organic,APAC,417,971,143,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Mid-Market|Paid Search|North America,2026-04-02,Mid-Market,Paid Search,North America,666,1423,245,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Mid-Market|Paid Search|EMEA,2026-04-02,Mid-Market,Paid Search,EMEA,447,990,157,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Mid-Market|Paid Search|APAC,2026-04-02,Mid-Market,Paid Search,APAC,377,798,129,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Mid-Market|Partner|North America,2026-04-02,Mid-Market,Partner,North America,403,852,138,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Mid-Market|Partner|EMEA,2026-04-02,Mid-Market,Partner,EMEA,315,738,111,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Mid-Market|Partner|APAC,2026-04-02,Mid-Market,Partner,APAC,235,516,79,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Enterprise|Organic|North America,2026-04-02,Enterprise,Organic,North America,354,813,165,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Enterprise|Organic|EMEA,2026-04-02,Enterprise,Organic,EMEA,291,654,131,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Enterprise|Organic|APAC,2026-04-02,Enterprise,Organic,APAC,227,491,102,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Enterprise|Paid Search|North America,2026-04-02,Enterprise,Paid Search,North America,314,714,142,2026-04-03 12:00:00,Synthetic product + billing events
2026-04-02|Enterprise|Paid Search|EMEA,2026-04-02,Enterprise,Paid Search,EMEA,219,499,97,2026-04-03 12:00:00,Synthetic product + billing events
